player_uuid,name,dob,nationality,tm_player_id,market_value_eur,last_update,fuzzy_score
benjamin dominguez|2003,benjamin dominguez,2003,ar ARG,,,,
benjamin schamine|2003,benjamin schamine,2003,ar ARG,1141726.0,350000.0,2025-10-17,100.0
bernardo benitez|2002,bernardo benitez,2002,py PAR,,,,
blas armoa|2000,blas armoa,2000,py PAR,491603.0,700000.0,2025-10-17,100.0
blas riveros|1998,blas riveros,1998,py PAR,,,,
braian aguirre|2000,braian aguirre,2000,ar ARG,668549.0,4000000.0,2025-10-17,96.2962962962963
braian galvan|2000,braian galvan,2000,ar ARG,,,,
braian rivero|1996,braian rivero,1996,ar ARG,,,,
braian romero|1991,braian romero,1991,ar ARG,357937.0,1200000.0,2025-10-17,100.0
brandon oviedo|2005,brandon oviedo,2005,ar ARG,1322606.0,200000.0,2025-10-17,100.0
brian aguirre|2003,brian aguirre,2003,ar ARG,668549.0,4000000.0,2025-10-17,100.0
brian alexis leizza|2000,brian alexis leizza,2000,ar ARG,,,,
brian calderara|1998,brian calderara,1998,ar ARG,830111.0,125000.0,2025-10-17,100.0
brian cuello|1997,brian cuello,1997,ar ARG,,,,
brian luciatti|1993,brian luciatti,1993,ar ARG,,,,
brian salvareschi|1999,brian salvareschi,1999,ar ARG,,,,
brian sanchez|1993,brian sanchez,1993,ar ARG,,,,
bruno barticciotto|2001,bruno barticciotto,2001,cl CHI,,,,
bruno bianchi|1989,bruno bianchi,1989,ar ARG,,,,
bruno cabrera|2003,bruno cabrera,2003,ar ARG,1235860.0,200000.0,2025-10-17,100.0
bruno leyes|2001,bruno leyes,2001,ar ARG,910641.0,1800000.0,2025-10-17,100.0
bruno pitton|1993,bruno pitton,1993,ar ARG,395216.0,400000.0,2025-10-17,100.0
bruno sepulveda|1992,bruno sepulveda,1992,ar ARG,690718.0,350000.0,2025-10-17,100.0
bruno zuculini|1993,bruno zuculini,1993,ar ARG,115507.0,600000.0,2025-10-17,100.0
bryan cabezas|1997,bryan cabezas,1997,ec ECU,,,,
bryan reyna|1998,bryan reyna,1998,pe PER,440312.0,1500000.0,2025-10-17,100.0
camilo viganoni|2003,camilo viganoni,2003,ar ARG,,,,
carlos arce|1990,carlos arce,1990,ar ARG,,,,
carlos izquierdoz|1988,carlos izquierdoz,1988,ar ARG,116968.0,500000.0,2025-10-17,100.0
carlos quintana|1988,carlos quintana,1988,ar ARG,54596.0,100000.0,2025-10-17,100.0
carlos sanchez|1986,carlos sanchez,1986,co COL,,,,
carlos villalba|1998,carlos villalba,1998,ar ARG,652968.0,550000.0,2025-10-17,100.0
cesar ibanez|1999,cesar ibanez,1999,ar ARG,674391.0,2500000.0,2025-10-17,100.0
cesar perez|2002,cesar perez,2002,cl CHI,662746.0,3000000.0,2025-10-17,100.0
christian ordonez|2004,christian ordonez,2004,ar ARG,,,,
claudio aquino|1991,claudio aquino,1991,ar ARG,,,,
claudio corvalan|1989,claudio corvalan,1989,ar ARG,125108.0,225000.0,2025-10-17,100.0
claudio echeverri|2006,claudio echeverri,2006,ar ARG,,,,
claudio valverde|2002,claudio valverde,2002,ar ARG,,,,
cristian colman|1994,cristian colman,1994,py PAR,,,,
cristian ferreira|1999,cristian ferreira,1999,ar ARG,548468.0,500000.0,2025-10-17,100.0
cristian lema|1990,cristian lema,1990,ar ARG,147128.0,125000.0,2025-10-17,100.0
cristian medina|2002,cristian medina,2002,ar ARG,661133.0,8000000.0,2025-10-17,100.0
cristian nunez|1997,cristian nunez,1997,py PAR,,,,
cristian paz|1995,cristian paz,1995,ar ARG,357338.0,400000.0,2025-10-17,100.0
cristian tarragona|1991,cristian tarragona,1991,ar ARG,422698.0,225000.0,2025-10-17,100.0
cristian torres|1999,cristian torres,1999,ar ARG,,,,
cristian vega|1993,cristian vega,1993,ar ARG,443689.0,150000.0,2025-10-17,100.0
cristopher fiermarin|1998,cristopher fiermarin,1998,uy URU,,,,
damian batallini|1996,damian batallini,1996,ar ARG,,,,
damian diaz|1986,damian diaz,1986,ec ECU,,,,
damian fernandez|2001,damian fernandez,2001,ar ARG,706562.0,2000000.0,2025-10-17,100.0
damian martinez|1990,damian martinez,1990,ar ARG,107282.0,125000.0,2025-10-17,100.0
damian perez|1988,damian perez,1988,ar ARG,,,,
damian puebla|2002,damian puebla,2002,ar ARG,1106216.0,3000000.0,2025-10-17,100.0
daniel barrea|2001,daniel barrea,2001,ar ARG,1006250.0,1000000.0,2025-10-17,100.0
daniel herrera|2004,daniel herrera,2004,ar ARG,1250374.0,1200000.0,2025-10-17,100.0
daniel juarez|2001,daniel juarez,2001,ar ARG,,,,
daniel zabala|2003,daniel zabala,2003,ar ARG,1203749.0,200000.0,2025-10-17,100.0
dante campisi|1996,dante campisi,1996,ar ARG,,,,
dardo miloc|1990,dardo miloc,1990,ar ARG,118375.0,75000.0,2025-10-17,100.0
dario caceres|1998,dario caceres,1998,py PAR,,,,
dario sarmiento|2003,dario sarmiento,2003,ar ARG,,,,
david barbona|1995,david barbona,1995,ar ARG,356089.0,1000000.0,2025-10-17,100.0
david gallardo|1997,david gallardo,1997,ar ARG,,,,
david gonzalez|2003,david gonzalez,2003,ar ARG,,,,
david sotelo|2003,david sotelo,2003,ar ARG,1061839.0,300000.0,2025-10-17,100.0
david zalazar|2002,david zalazar,2002,ar ARG,983867.0,250000.0,2025-10-17,100.0
dayro pena|,dayro pena,0,0,,,,
delfor minervino|1996,delfor minervino,1996,ar ARG,,,,
diego azcurra|1998,diego azcurra,1998,ar ARG,,,,
diego calcaterra|2001,diego calcaterra,2001,ar ARG,,,,
diego herazo|1996,diego herazo,1996,co COL,384580.0,550000.0,2025-10-17,100.0
diego matias rodriguez|1989,diego matias rodriguez,1989,ar ARG,90800.0,300000.0,2025-10-17,95.0
diego ortegoza|1997,diego ortegoza,1997,cl CHI,,,,
diego pavia|2005,diego pavia,2005,ar ARG,,,,
diego tarzia|2003,diego tarzia,2003,ar ARG,1225755.0,2500000.0,2025-10-17,100.0
diego tonetto|1988,diego tonetto,1988,ar ARG,87890.0,25000.0,2025-10-17,100.0
dylan aquino|2005,dylan aquino,2005,ar ARG,1150206.0,1800000.0,2025-10-17,100.0
dylan gorosito|2006,dylan gorosito,2006,ar ARG,,,,
edinson cavani|1987,edinson cavani,1987,uy URU,48280.0,500000.0,2025-10-17,100.0
eduardo salvio|1990,eduardo salvio,1990,ar ARG,84535.0,1000000.0,2025-10-17,100.0
edwuin cetre|1998,edwuin cetre,1998,co COL,470390.0,2200000.0,2025-10-17,100.0
elian irala|2004,elian irala,2004,ar ARG,,,,
elias baez|2004,elias baez,2004,ar ARG,1160854.0,3000000.0,2025-10-17,100.0
elias cabrera|2003,elias cabrera,2003,ar ARG,668513.0,1200000.0,2025-10-17,100.0
elias gomez|1994,elias gomez,1994,ar ARG,302139.0,1300000.0,2025-10-17,100.0
elias lopez|2000,elias lopez,2000,ar ARG,491691.0,450000.0,2025-10-17,100.0
elias ocampo|2004,elias ocampo,2004,ar ARG,,,,
elias pereyra|1999,elias pereyra,1999,ar ARG,576027.0,300000.0,2025-10-17,100.0
